timestamp,band_name,frequency_hz,frequency_mhz,level,noise_floor,signal_above_noise,demodulator,label
2026-06-03T22:05:11.285601,Aviation VHF,118100000,118.1,118,84,34,AM,
2026-06-03T22:05:11.285641,Aviation VHF,118200000,118.2,113,84,29,AM,
2026-06-03T22:05:11.285654,Aviation VHF,118300000,118.3,112,84,28,AM,
2026-06-03T22:05:11.285662,Aviation VHF,118400000,118.4,114,84,30,AM,
2026-06-03T22:05:11.285671,Aviation VHF,118500000,118.5,113,84,29,AM,
2026-06-03T22:05:11.285680,Aviation VHF,118600000,118.6,113,84,29,AM,
2026-06-03T22:05:11.285688,Aviation VHF,118700000,118.7,112,84,28,AM,
2026-06-03T22:05:11.285696,Aviation VHF,118800000,118.8,110,84,26,AM,
2026-06-03T22:05:11.285704,Aviation VHF,118900000,118.9,105,84,21,AM,
2026-06-03T22:05:11.285713,Aviation VHF,119000000,119.0,100,84,16,AM,
2026-06-03T22:05:11.285722,Aviation VHF,119100000,119.1,99,84,15,AM,
2026-06-03T22:05:11.285731,Aviation VHF,119200000,119.2,102,84,18,AM,
2026-06-03T22:05:11.285739,Aviation VHF,119300000,119.3,119,84,35,AM,
2026-06-03T22:05:11.285747,Aviation VHF,119400000,119.4,120,84,36,AM,
2026-06-03T22:05:11.285755,Aviation VHF,119500000,119.5,120,84,36,AM,
2026-06-03T22:05:11.285765,Aviation VHF,119600000,119.6,122,84,38,AM,
2026-06-03T22:05:11.285772,Aviation VHF,119700000,119.7,121,84,37,AM,
2026-06-03T22:05:11.285779,Aviation VHF,119800000,119.8,121,84,37,AM,
2026-06-03T22:05:11.285785,Aviation VHF,119900000,119.9,120,84,36,AM,
2026-06-03T22:05:11.285797,Aviation VHF,120000000,120.0,115,84,31,AM,
2026-06-03T22:05:11.285806,Aviation VHF,120100000,120.1,123,84,39,AM,
2026-06-03T22:05:11.285812,Aviation VHF,120200000,120.2,123,84,39,AM,
2026-06-03T22:05:11.285819,Aviation VHF,120300000,120.3,123,84,39,AM,
2026-06-03T22:05:11.285826,Aviation VHF,120400000,120.4,123,84,39,AM,
2026-06-03T22:05:11.285833,Aviation VHF,120500000,120.5,122,84,38,AM,
2026-06-03T22:05:11.285840,Aviation VHF,120600000,120.6,122,84,38,AM,
2026-06-03T22:05:11.285848,Aviation VHF,120700000,120.7,122,84,38,AM,
2026-06-03T22:05:11.285855,Aviation VHF,120800000,120.8,120,84,36,AM,
2026-06-03T22:05:11.285862,Aviation VHF,120900000,120.9,107,84,23,AM,
2026-06-03T22:05:11.285869,Aviation VHF,121000000,121.0,107,84,23,AM,
2026-06-03T22:05:11.285887,Aviation VHF,129500000,129.5,102,84,18,AM,
2026-06-03T22:05:11.285917,Aviation VHF,136700000,136.7,99,84,15,AM,
2026-06-03T22:05:11.285929,Aviation VHF,136800000,136.8,99,84,15,AM,
2026-06-03T22:05:11.285941,Aviation VHF,136900000,136.9,100,84,16,AM,
2026-06-03T22:05:11.285950,Aviation VHF,137000000,137.0,99,84,15,AM,
2026-06-03T22:06:43.171177,Marine VHF,162825000,162.825,110,95,15,NFM,
